市区町村コード,転入_総人数,転入65歳以上,転入25歳～29歳,転入30歳～34歳,転入35歳～39歳,転出_総人数,転出65歳以上,転出25歳～29歳,転出30歳～34歳,35歳～39歳
13101,7238,249,1596,1131,779,6380,316,1366,1035,709
13102,15387,488,3834,2840,1723,14400,655,2761,2722,1864
13103,20934,733,4815,3565,2318,22938,1165,4317,3846,2866
13104,35733,839,9370,5412,3067,38090,1466,9019,6110,3858
13105,18488,550,4492,2949,1752,18318,752,4297,3136,1846
13106,18919,659,5470,3156,1943,17357,1002,3985,3174,1895
13107,21199,594,6471,3595,1924,20412,1015,5002,3888,2307
13108,36253,1094,8916,6174,3822,31643,1788,7066,5091,3437
13109,32438,904,8509,5624,3373,28400,1347,6900,5449,3397
13110,23287,599,5982,3996,2461,23879,993,5246,4528,3035
13111,44136,1312,10716,6021,3553,43703,2144,10978,7251,4260
13112,59494,1916,14157,9090,5541,57627,2845,13055,9288,6366
13113,22341,634,5620,3836,2481,21672,914,4575,4022,2846
13114,31558,710,8328,4906,2717,31209,1201,8109,5440,3285
13115,41635,1200,10646,6050,3637,41555,1775,10328,7333,4469
13116,28109,621,7498,4155,2271,29785,1214,7374,4940,2855
13117,26482,784,7055,4031,2117,26086,1326,6316,4351,2552
13118,15225,511,4091,2421,1306,15160,802,3668,2476,1500
13119,37314,1421,9203,5190,2854,36527,1802,9321,5806,3232
13120,44828,1666,10597,6438,3926,43049,2165,10264,6679,3968
13121,35607,1619,8503,4802,2915,33343,1688,8142,4922,3058
13122,24227,1051,5789,3225,1921,23506,1273,5580,3602,2131
13123,34957,1135,8131,4930,2941,37716,1772,8296,5420,3521
13201,23425,1510,3939,2522,1675,21652,1164,4583,2344,1396
13202,10822,723,2208,1533,844,9834,618,2208,1450,868
13203,10686,387,2422,1664,1097,10125,485,2216,1705,1038
13204,12991,618,2502,1911,1306,11185,603,2641,1647,1114
13205,4320,637,670,451,374,4178,330,894,526,294
13206,13910,657,2760,1633,1114,13432,670,2843,1694,1030
