市区町村コード,転入_総人数,転入65歳以上,転入25歳～29歳,転入30歳～34歳,転入35歳～39歳,転出_総人数,転出65歳以上,転出25歳～29歳,転出30歳～34歳,35歳～39歳
21000,58540,2885,11512,8024,5041,64343,2882,13053,8413,5149
21001,49443,2401,9716,6795,4266,53906,2414,10862,7013,4303
21002,9097,484,1796,1229,775,10437,468,2191,1400,846
21201,12340,620,2415,1778,1105,12591,520,2605,1712,1037
21202,4956,189,960,686,448,5124,184,1085,720,448
21203,1931,93,356,218,146,2320,86,378,252,162
21204,2943,157,589,408,258,3186,206,691,409,230
21205,2182,134,426,251,144,2569,110,583,276,165
21206,1808,83,375,243,174,2238,102,445,257,190
21207,519,25,113,61,54,585,36,102,82,39
21208,1225,48,245,186,103,1269,39,263,164,112
21209,2102,94,376,295,219,2421,92,514,305,167
21210,1069,64,196,124,93,1329,83,269,159,86
21211,2410,84,466,318,200,2373,79,501,294,192
21212,1382,76,310,180,111,1560,107,329,201,121
21213,4683,208,918,725,387,4836,194,1011,704,433
21214,3322,178,627,422,291,3809,170,679,535,344
21215,506,41,77,54,43,740,46,152,86,50
21216,2529,95,604,378,209,2344,90,420,343,218
21217,500,37,98,43,42,567,51,81,63,26
21218,1002,50,147,152,89,1187,60,221,146,83
21219,754,47,146,106,53,1035,59,189,115,66
21220,686,40,143,91,48,899,62,138,79,48
21221,594,38,129,76,49,924,38,206,111,86
21300,2459,114,584,363,218,2422,83,495,380,213
21302,1490,59,370,216,140,1386,51,283,226,127
21303,969,55,214,147,78,1036,32,212,154,86
21340,509,22,105,54,52,794,30,176,107,57
21341,509,22,105,54,52,794,30,176,107,57
21360,816,47,141,125,67,925,53,191,126,81
21361,694,40,116,103,58,747,40,151,98,71
21362,122,7,25,22,9,178,13,40,28,10
21380,1141,56,209,139,101,1426,45,286,199,116
21381,462,24,80,60,37,624,20,142,84,50
21382,286,11,63,32,27,307,14,62,48,21
21383,393,21,66,47,37,495,11,82,67,45
21400,1421,76,290,191,115,1747,83,400,221,137
21401,356,26,67,47,31,524,37,96,72,40
21403,490,27,112,55,34,593,28,128,68,50
21404,575,23,111,89,50,630,18,176,81,47
21420,943,62,166,125,66,828,35,171,96,61
21421,943,62,166,125,66,828,35,171,96,61
21500,1273,81,196,167,111,1604,105,322,189,126
21501,350,21,51,45,27,450,16,103,51,47
21502,171,12,26,23,21,159,6,22,20,16
21503,300,15,53,44,29,346,19,71,46,26
21504,71,8,10,5,5,99,10,17,12,3
21505,197,13,33,19,15,265,13,55,32,20
21506,134,9,17,22,7,225,26,49,23,9
21507,50,3,6,9,7,60,15,5,5,5
21520,478,24,90,57,43,607,28,133,75,48
21521,478,24,90,57,43,607,28,133,75,48
21600,57,2,15,8,2,84,6,17,7,7
21604,57,2,15,8,2,84,6,17,7,7
22000,128086,8219,24149,16548,10839,132481,7684,24713,16560,10756
22001,119249,7496,22660,15337,10085,122957,6996,23204,15391,9965
22002,8837,723,1489,1211,754,9524,688,1509,1169,791
22100,23746,1356,4649,3018,2009,24124,1273,4763,3079,2021
22101,8928,555,1673,1179,816,8650,507,1718,1100,722
22102,9170,515,1945,1164,713,9313,453,1861,1248,813
22103,5648,286,1031,675,480,6161,313,1184,731,486
22130,33514,2101,6407,4467,2961,33980,1920,6549,4424,2838
22131,12039,658,2265,1477,1095,11894,631,2257,1477,1031
22132,5591,306,1158,826,527,5659,316,1071,806,503
22133,3878,275,633,519,319,4620,243,856,561,322
22134,4703,218,1036,611,369,4780,252,979,731,384
22135,3383,387,549,428,308,3227,183,625,358,272
22136,3293,199,674,525,284,2939,166,606,389,267
22137,627,58,92,81,59,861,129,155,102,59
22203,6270,450,1201,760,474,6562,396,1211,811,501
22205,1947,501,210,115,102,1889,437,285,151,88
22206,4196,291,742,559,376,4084,278,790,497,300
22207,3366,185,688,429,267,3834,151,703,441,285
22208,2103,449,265,167,105,2107,324,284,206,109
22209,2305,126,453,321,198,2240,127,453,256,177
22210,6321,307,1310,840,537,6253,279,1225,734,460
22211,5372,217,1073,719,459,5200,240,1059,693,442
22212,3842,216,758,512,317,3730,228,712,463,261
22213,3519,165,711,498,345,3827,163,737,483,334
22214,4188,223,729,573,363,4027,233,720,473,281
22215,4050,147,706,566,327,4478,119,694,592,451
22216,3060,158,625,427,278,3228,113,611,454,282
22219,707,63,127,68,54,772,87,113,83,46
22220,2007,94,382,293,173,2404,90,421,358,220
22221,2218,49,437,227,212,2545,59,471,304,246
22222,911,79,145,85,57,1128,98,196,94,60
22223,817,44,134,103,75,1179,60,198,154,115
22224,1739,55,383,259,167,1851,84,318,273,197
22225,1550,150,254,186,107,1630,161,338,167,101
22226,1501,70,271,145,122,1885,76,353,201,150
22300,1189,225,158,89,75,1395,213,194,94,85
22301,483,95,53,33,34,482,106,69,26,37
22302,206,29,35,16,12,263,23,42,22,13
22304,198,50,20,11,13,215,38,21,13,18
22305,105,24,17,13,6,202,24,25,14,6
22306,197,27,33,16,10,233,22,37,19,11
22320,1367,178,246,156,107,1431,167,237,157,111
22325,1367,178,246,156,107,1431,167,237,157,111
22340,4594,244,783,733,436,4841,214,760,651,438
22341,1409,110,255,215,127,1488,94,272,184,118
22342,2222,103,415,373,202,2267,89,343,326,213
22344,963,31,113,145,107,1086,31,145,141,107
22420,1313,56,248,186,111,1383,65,232,188,128
22424,1160,43,232,169,107,1188,49,196,169,120
22429,153,13,16,17,4,195,16,36,19,8
22460,374,20,54,47,25,474,29,86,79,29
22461,374,20,54,47,25,474,29,86,79,29
23000,329739,15816,69942,46609,28760,337035,16029,71711,48381,29998
23001,313892,14996,66625,44235,27413,321144,15216,68337,46170,28672
23002,15847,820,3317,2374,1347,15891,813,3374,2211,1326
23100,146502,8212,30421,20155,13028,143427,8114,30054,20699,13340
23101,12295,622,2265,1605,1157,11643,700,2341,1532,1068
23102,8095,426,1647,1100,810,7065,411,1461,1136,722
23103,9760,659,1973,1260,771,9036,585,1801,1292,820
23104,9382,375,2165,1427,835,9263,489,2046,1494,895
23105,11311,403,2796,1595,852,11103,558,2686,1718,1052
23106,12776,448,3135,1793,1011,12378,481,3116,1937,1254
23107,8365,417,1567,1113,778,7970,402,1824,1121,731
23108,6672,368,1344,970,691,5880,425,1224,868,562
23109,4601,284,913,597,390,4506,298,949,616,423
23110,11818,652,2800,1632,964,12527,616,2676,1913,1078
23111,6895,514,1224,858,592,6685,424,1285,854,584
23112,6795,427,1449,874,554,7936,499,1726,1150,669
23113,8345,675,1531,1163,797,7785,494,1437,1053,659
23114,10291,625,2259,1620,1011,10190,585,2035,1478,926
23115,9922,656,1587,1293,1025,10557,566,1691,1319,1060
23116,9179,661,1766,1255,790,8903,581,1756,1218,837
23201,9369,331,1865,1231,862,11202,377,2197,1433,881
23202,11835,359,2771,1608,1017,13605,395,2848,2033,1265
23203,9951,489,2131,1490,887,10027,411,2265,1288,810
23204,3730,224,704,526,323,3608,250,741,490,277
23205,4116,167,861,541,346,4578,151,995,647,410
23206,10861,495,2304,1583,900,11039,527,2126,1541,911
23207,5871,226,1231,794,480,5341,196,1094,728,476
23208,1992,165,353,251,173,2201,144,410,235,184
23209,2652,68,574,370,259,2826,89,615,453,249
23210,7724,207,1850,1123,623,8303,204,2010,1298,794
23211,12807,416,2756,1778,1000,15289,455,3775,2243,1357
23212,7443,281,1740,1088,627,8114,247,1810,1194,707
23213,4762,154,997,708,409,5244,154,1226,698,449
23214,2179,117,473,306,185,2317,109,557,335,167
23215,2476,119,477,360,225,2564,139,557,306,203
23216,2167,67,371,263,180,2488,77,588,342,178
23217,3038,184,619,467,278,3089,150,675,422,253
23219,6269,279,1128,857,509,6593,277,1320,880,571
23220,4390,210,922,679,385,4470,234,939,646,377
23221,1010,66,182,120,99,1384,90,267,152,109
23222,4300,136,985,597,372,4757,195,1061,668,397
23223,3883,111,941,639,336,4115,139,987,690,330
23224,2978,119,607,442,276,2934,175,605,429,246
23225,4283,118,1084,605,352,4402,168,946,738,418
23226,3175,197,569,518,315,3015,190,602,385,241
23227,2347,85,545,337,187,2338,76,487,369,238
23228,2531,90,632,413,210,2531,146,454,427,253
23229,2885,100,692,443,240,3034,149,669,473,242
23230,4699,226,1189,726,396,4160,167,886,665,364
23231,1220,66,223,131,99,1589,61,359,208,114
23232,1820,144,268,241,172,1737,132,389,184,119
23233,3526,117,873,553,299,3692,131,770,647,369
23234,3824,161,885,611,327,3875,218,809,607,357
23235,1707,80,382,229,161,1864,83,388,283,159
23236,2802,107,633,422,265,2904,91,609,451,255
23237,3347,179,662,506,291,3447,205,671,462,321
23238,3421,124,725,524,320,3041,100,576,421,281
23300,1599,72,298,255,167,1650,97,309,229,148
23302,1599,72,298,255,167,1650,97,309,229,148
23340,852,35,180,120,74,854,48,176,104,76
23342,852,35,180,120,74,854,48,176,104,76
23360,2554,112,574,389,202,2192,100,505,309,189
23361,1091,57,238,170,81,967,42,220,135,83
23362,1463,55,336,219,121,1225,58,285,174,106
23420,3349,190,749,497,289,3441,177,689,480,290
23424,1608,94,317,224,139,1414,89,271,181,129
23425,1603,78,400,252,139,1901,82,400,279,154
23427,138,18,32,21,11,126,6,18,20,7
23440,5533,310,1094,827,455,5888,301,1336,776,447
23441,788,51,158,114,80,829,46,215,126,61
23442,2095,103,430,365,183,1773,88,398,269,163
23445,370,44,61,40,25,1023,50,246,110,50
23446,681,47,101,71,48,681,45,148,66,40
23447,1599,65,344,237,119,1582,72,329,205,133
23500,1757,73,394,266,143,1644,49,332,282,160
23501,1757,73,394,266,143,1644,49,332,282,160
23560,203,28,28,20,17,222,41,27,31,16
23561,101,15,17,8,9,106,17,17,15,6
23562,68,5,7,8,7,76,12,7,12,5
23563,34,8,4,4,1,40,12,3,4,5
24000,54005,2659,10455,7407,4681,58293,2723,11456,7586,4791
24001,47376,2272,9218,6432,4080,51330,2255,10166,6690,4219
24002,6629,387,1237,975,601,6963,468,1290,896,572
24201,8609,372,1632,1176,743,8934,349,1764,1139,697
24202,10700,372,2347,1448,903,10471,358,2253,1447,924
24203,3110,183,555,405,257,3572,203,602,448,256
24204,3745,205,729,527,346,4593,209,872,624,369
24205,4536,208,936,699,401,4908,186,1088,688,470
24207,6432,252,1190,853,575,6842,220,1287,894,594
24208,1998,167,332,250,162,2372,178,445,260,172
24209,428,33,74,42,34,532,47,93,48,43
24210,1909,96,355,277,186,1921,86,392,270,171
24211,511,51,78,71,26,672,64,123,71,32
24212,429,26,75,54,35,517,40,77,43,34
24214,1806,56,367,239,196,1892,53,404,302,174
24215,801,104,124,83,46,1126,84,192,94,53
24216,2362,147,424,308,170,2978,178,574,362,230
24300,225,7,46,29,20,254,20,40,33,27
24303,225,7,46,29,20,254,20,40,33,27
24320,796,39,170,130,84,735,43,159,110,72
24324,796,39,170,130,84,735,43,159,110,72
24340,2867,109,586,429,254,2744,116,566,377,249
24341,1448,73,247,198,123,1373,66,274,154,111
24343,487,15,127,84,41,413,14,80,72,38
24344,932,21,212,147,90,958,36,212,151,100
24440,1118,80,195,174,107,1164,88,206,160,93
24441,288,22,46,49,25,337,23,58,49,25
24442,633,38,117,101,59,563,36,104,75,50
24443,197,20,32,24,23,264,29,44,36,18
24460,887,96,129,124,60,1125,112,200,124,68
24461,445,35,77,66,37,441,30,86,49,27
24470,139,18,14,25,8,203,12,39,22,16
24471,122,18,13,16,6,166,27,22,23,8
24472,181,25,25,17,9,315,43,53,30,17
24540,260,20,43,30,31,386,42,50,42,24
24543,260,20,43,30,31,386,42,50,42,24
24560,476,36,68,59,45,555,47,69,50,39
24561,211,18,30,24,20,229,11,26,21,18
24562,265,18,38,35,25,326,36,43,29,21
25000,49357,2404,10098,6851,4331,49329,2171,10176,6658,4012
25001,46708,2298,9593,6517,4115,46556,2060,9607,6307,3789
25002,2649,106,505,334,216,2773,111,569,351,223
25201,11823,842,2191,1525,964,10748,587,2163,1337,811
25202,3900,161,774,538,335,4438,170,933,551,367
25203,2431,86,529,323,221,2953,110,601,381,231
25204,3020,120,665,463,275,2574,102,524,402,219
25206,6590,266,1334,825,571,5869,220,1334,807,437
25207,3353,172,735,539,330,2837,125,609,412,233
25208,3458,141,840,564,302,3527,152,683,565,333
25209,2665,100,562,392,246,2853,111,561,383,241
25210,1788,72,441,256,194,1926,77,477,264,178
25211,2141,82,422,301,180,2388,110,482,360,206
25212,1169,101,176,128,90,1459,109,255,174,99
25213,3514,109,744,530,337,3887,139,775,507,338
25214,856,46,180,133,70,1097,48,210,164,96
25380,1117,49,228,137,103,1318,42,294,158,118
25383,657,30,139,81,62,772,22,173,91,75
25384,460,19,89,56,41,546,20,121,67,43
25420,942,27,186,116,77,838,30,171,104,60
25425,942,27,186,116,77,838,30,171,104,60
25440,590,30,91,81,36,617,39,104,89,45
25441,258,12,38,33,11,243,16,38,34,12
25442,125,6,17,9,9,183,7,36,24,15
25443,207,12,36,39,16,191,16,30,31,18
26000,107292,6953,19988,13490,8603,111239,7350,22199,14582,9186
26001,103400,6666,19304,12944,8283,106847,6993,21392,14053,8849
26002,3892,287,684,546,320,4392,357,807,529,337
26100,71123,4764,13628,8846,5610,73143,4924,15165,10069,6349
26101,5098,390,668,540,414,5238,425,928,581,354
26102,5322,305,906,656,407,5284,369,1070,664,444
26103,7702,436,1281,905,595,8040,511,1723,1056,632
26104,7321,437,1510,926,670,7544,473,1603,1169,751
26105,2404,127,478,302,212,2478,197,536,336,216
26106,6122,250,1454,868,534,6370,354,1417,1087,693
26107,6449,305,1520,901,475,5907,341,1305,940,543
26108,8469,705,1524,1079,659,8504,569,1786,1146,761
26109,11142,869,2102,1287,755,12372,838,2473,1540,937
26110,5454,496,1107,689,396,5076,410,983,686,442
26111,5640,444,1078,693,493,6330,437,1341,864,576
26201,2529,91,450,300,200,2813,94,467,350,230
26202,3430,87,485,330,230,3980,136,575,361,252
26203,810,53,158,91,54,913,60,157,103,65
26204,5808,374,1020,678,455,6092,404,1281,726,427
26205,486,49,77,56,31,586,49,91,61,33
26206,2172,183,383,270,178,2438,170,464,304,173
26207,2136,140,410,279,191,2172,194,423,287,175
26208,1921,96,413,302,185,2113,153,409,314,171
26209,3000,151,626,470,302,3054,185,606,431,270
26210,2070,173,354,266,173,2342,240,412,278,205
26211,2837,150,463,362,234,2553,127,519,264,170
26212,921,38,188,131,64,1134,49,185,119,57
26213,1102,95,145,94,73,1178,78,213,110,50
26214,3055,222,504,469,303,2336,130,425,276,222
26300,816,30,157,154,82,602,42,109,94,68
26303,816,30,157,154,82,602,42,109,94,68
26320,628,39,114,67,45,726,82,129,77,55
26322,628,39,114,67,45,726,82,129,77,55
26340,468,31,67,69,38,547,40,122,61,41
26343,205,13,30,20,20,244,20,50,24,13
26344,263,18,37,49,18,303,20,72,37,28
26360,1213,108,201,172,99,1510,102,298,177,107
26364,19,2,2,0,0,40,5,6,4,6
26365,61,6,8,7,4,102,13,17,8,7
26366,1076,94,180,160,89,1266,76,255,150,89
26367,57,6,11,5,6,102,8,20,15,5
26400,305,48,50,31,20,441,49,59,56,22
26407,305,48,50,31,20,441,49,59,56,22
26460,462,31,95,53,36,566,42,90,64,44
26463,40,4,7,2,5,58,7,8,3,7
26465,422,27,88,51,31,508,35,82,61,37
27000,412279,27976,87855,55780,33894,398923,28527,84118,55678,34249
27001,405986,27415,86919,55044,33461,391441,27949,82761,54855,33825
27002,6293,561,936,736,433,7482,578,1357,823,424
27100,191381,11618,44639,26524,15459,174579,11556,39360,26732,16254
27102,6759,351,1645,983,567,6487,425,1540,1017,646
27103,6354,238,1769,1010,592,5733,248,1452,1145,610
27104,3493,182,722,438,274,3466,298,687,444,317
27106,10933,292,2866,1740,1041,9606,307,2377,1741,1085
27107,4399,218,1013,557,354,4262,294,1000,592,390
27108,2340,186,434,275,174,2597,261,522,362,195
27109,6928,421,1430,991,663,5788,369,1170,828,582
27111,10966,385,2968,1533,774,9661,410,2408,1671,998
27113,5446,388,1278,745,427,5171,323,1180,777,408
27114,11788,661,2911,1490,762,10987,594,2825,1706,1022
27115,6645,386,1689,896,492,6407,374,1589,987,572
27116,8236,689,1835,959,526,7737,617,1738,1024,558
27117,5132,409,1152,640,423,4651,389,1030,622,383
27118,9495,630,2154,1445,801,8989,679,1866,1381,829
27119,6699,447,1308,961,570,6265,577,1244,831,476
27120,8006,715,1669,1044,656,7590,643,1519,1059,680
27121,7846,760,1543,999,631,6511,648,1307,862,488
27122,8104,1114,1295,746,500,6564,819,1137,678,443
27123,14626,435,3867,1994,1089,13127,710,3349,2160,1180
27124,5121,335,1111,893,455,4823,293,921,693,464
27125,4977,570,840,614,414,5323,544,925,656,444
27126,7536,882,1519,914,477,8833,703,1740,1148,653
27127,14467,497,3705,2261,1394,11904,538,2806,2125,1439
27128,15085,427,3916,2396,1403,12097,493,3028,2223,1392
27140,33985,3098,6895,4514,2701,34609,3075,6708,4642,2874
27141,7689,555,1634,956,563,7489,600,1569,1051,607
27142,4459,507,865,497,324,4894,435,929,607,379
27143,3716,327,720,535,304,3072,270,600,389,236
27144,5436,534,1076,729,427,5375,491,1128,683,439
27145,3655,545,531,438,324,4472,548,732,511,322
27146,7650,491,1846,1179,651,8001,619,1504,1216,776
27147,1380,139,223,180,108,1306,112,246,185,115
27202,4611,413,866,548,326,5228,370,1069,677,415
27203,18589,1105,3655,2689,1798,17738,1132,3184,2372,1683
27204,4646,291,883,647,387,4298,312,935,538,343
27205,20657,958,3995,2950,2086,18495,1044,3676,2509,1698
27206,2764,229,574,362,202,2890,200,575,355,214
27207,10762,636,2283,1586,927,10395,762,2229,1427,839
27208,1978,171,385,233,143,2917,201,578,351,209
27209,6141,502,1328,804,459,5962,510,1231,833,447
27210,12123,884,2331,1665,1032,12229,858,2556,1510,932
27211,11990,676,2583,1849,984,11050,654,2205,1518,999
27212,7603,592,1613,967,648,7608,620,1572,976,571
27213,3998,231,722,444,288,4279,221,936,528,305
27214,3120,340,518,336,242,3635,362,733,433,240
27215,6906,599,1352,865,560,7306,608,1398,995,577
27216,2327,270,358,295,213,2861,300,597,326,187
27217,3442,275,710,408,272,3724,260,790,447,239
27218,3958,259,731,444,294,4444,384,866,567,347
27219,5611,482,947,703,440,6089,470,1209,679,438
27220,6073,398,895,801,620,5330,394,1044,672,443
27221,2124,152,441,245,134,2366,189,513,254,174
27222,3097,339,526,354,229,3405,286,704,402,238
27223,4547,361,920,544,366,4974,437,962,624,405
27224,4272,257,974,647,334,4241,272,896,706,387
27225,1997,163,389,280,156,2066,155,407,294,160
27226,2261,214,420,297,191,2324,204,435,296,197
27227,15766,1078,3342,1885,1193,16268,1225,3415,2084,1297
27228,1675,164,282,166,143,2090,170,388,231,132
27229,1908,160,385,282,135,2071,202,430,219,148
27230,2445,204,451,310,229,2347,207,470,255,145
27231,2002,133,327,266,182,1949,141,382,213,167
27232,1227,163,199,134,88,1674,168,308,190,121
27300,1213,75,279,205,111,954,71,189,126,84
27301,1213,75,279,205,111,954,71,189,126,84
27320,772,129,79,86,60,940,125,179,109,47
27321,497,84,46,58,44,597,83,122,69,30
27322,275,45,33,28,16,343,42,57,40,17
27340,596,64,117,64,35,682,65,130,80,56
27341,596,64,117,64,35,682,65,130,80,56
27360,2704,189,334,278,151,3808,197,671,379,167
27361,1185,103,169,181,98,1329,112,271,170,81
27362,1117,22,105,61,28,1103,24,138,64,32
27366,402,64,60,36,25,1376,61,262,145,54
27380,1008,104,127,103,76,1098,120,188,129,70
27381,419,38,60,48,34,407,31,68,45,41
27382,490,48,57,44,34,567,64,97,72,27
27383,99,18,10,11,8,124,25,23,12,2
28000,192814,13321,36927,25585,16377,199679,13730,39768,25897,15969
28001,186508,12866,35845,24778,15822,192487,13221,38489,25046,15448
28002,6306,455,1082,807,555,7192,509,1279,851,521
28100,69140,5551,12834,8789,5674,70370,5682,14310,9272,5524
28101,9880,647,1753,1227,933,10426,729,2116,1313,786
28102,6857,459,1314,894,577,6814,511,1442,879,547
28105,7346,494,1584,934,541,7021,567,1582,1073,558
28106,4853,479,917,527,334,5016,510,982,601,389
28107,6523,605,1104,936,530,6366,619,1265,804,498
28108,7179,751,1257,886,623,7903,748,1470,1037,594
28109,6508,671,1056,811,555,7058,655,1301,779,518
28110,12254,659,2572,1573,967,11014,701,2467,1649,971
28111,7740,786,1277,1001,614,8752,642,1685,1137,663
28201,13423,670,2583,1707,1104,13844,516,2791,1722,1087
28202,17395,1078,4128,2504,1318,16467,1101,3632,2425,1548
28203,10454,613,2339,1552,953,9777,648,1972,1295,779
28204,19164,1120,3720,2622,1823,19172,1224,3613,2491,1713
28205,1198,94,204,128,98,1503,83,277,164,107
28206,4342,368,566,517,385,4188,376,602,462,314
28207,7696,443,1511,998,651,7622,431,1446,1059,652
28208,654,40,109,82,52,843,51,160,115,66
28209,1693,75,346,223,143,2008,86,358,236,137
28210,7106,422,1495,966,565,7689,418,1597,1057,605
28212,877,57,168,115,56,1254,65,239,152,107
28213,1066,92,229,128,111,1329,69,300,177,124
28214,7728,609,1185,1106,750,7752,692,1438,924,631
28215,2074,155,406,282,153,2301,161,442,274,162
28216,2533,110,513,343,222,2838,131,637,394,219
28217,4543,346,775,681,436,5297,428,1064,634,384
28218,1385,68,262,167,111,1585,93,321,189,96
28219,3223,262,533,431,252,4212,228,980,522,294
28220,994,46,205,143,73,1249,49,265,177,105
28221,1094,87,205,134,101,1247,79,254,155,84
28222,392,21,67,60,31,544,52,79,61,33
28223,1251,113,218,149,116,1470,110,291,157,106
28224,1022,57,162,119,74,1199,63,193,118,86
28225,651,38,134,101,48,833,57,136,105,62
28226,1174,115,143,120,119,1174,80,213,122,64
28227,609,52,120,83,47,876,55,128,92,58
28228,1848,57,413,285,178,1915,79,391,259,162
28229,1779,107,272,243,178,1929,114,360,236,139
28300,658,83,75,72,53,875,62,161,86,49
28301,658,83,75,72,53,875,62,161,86,49
28360,358,26,52,41,30,502,40,84,58,35
28365,358,26,52,41,30,502,40,84,58,35
28380,2278,142,398,324,220,2000,120,396,244,161
28381,842,64,137,110,84,856,58,167,116,77
28382,1436,78,261,214,136,1144,62,229,128,84
28440,1025,68,205,109,84,1200,94,222,139,77
28442,203,12,34,20,21,306,32,49,35,10
28443,596,31,124,57,44,612,38,118,72,47
28446,226,25,47,32,19,282,24,55,32,20
28460,967,51,189,142,85,1029,57,152,136,88
28464,967,51,189,142,85,1029,57,152,136,88
28480,296,28,49,33,20,363,42,57,43,24
28481,296,28,49,33,20,363,42,57,43,24
28500,247,22,30,30,22,397,41,63,49,28
28501,247,22,30,30,22,397,41,63,49,28
28580,477,35,84,56,41,826,53,144,96,59
28585,247,15,42,28,23,468,30,83,51,39
28586,230,20,42,28,18,358,23,61,45,20
29000,40247,3352,7151,5346,3304,42909,3116,8566,5407,3225
29001,32054,2494,5712,4268,2637,34211,2322,6800,4296,2574
29002,8193,858,1439,1078,667,8698,794,1766,1111,651
29201,11183,900,1838,1446,945,11060,780,2237,1336,854
29202,1855,147,335,233,148,2269,156,471,337,170
29203,2274,186,448,345,175,2399,159,505,303,201
29204,2475,142,330,193,129,3037,109,572,311,158
29205,3939,243,850,605,321,4012,240,812,564,332
29206,1513,121,282,193,120,1648,136,334,211,104
29207,499,45,85,53,46,849,74,163,96,71
29208,648,84,75,70,43,758,45,141,97,55
29209,3522,285,627,519,351,3784,306,723,459,299
29210,2411,192,539,339,219,2624,173,519,370,201
29211,1223,89,238,205,91,968,70,168,122,81
29212,512,60,65,67,49,803,74,155,90,48
29320,48,11,4,6,3,80,10,11,12,7
29322,48,11,4,6,3,80,10,11,12,7
29340,2357,223,432,325,203,2395,189,506,319,202
29342,486,37,66,71,47,455,56,89,58,38
29343,858,88,183,116,63,836,56,175,111,69
29344,783,70,139,119,80,810,59,178,111,61
29345,230,28,44,19,13,294,18,64,39,34
29360,1433,91,295,217,109,1467,97,318,220,104
29361,182,17,29,22,14,223,20,57,26,17
29362,207,15,43,24,12,234,23,43,42,16
29363,1044,59,223,171,83,1010,54,218,152,71
29380,77,5,8,10,3,79,14,11,8,2
29385,31,3,4,4,1,43,8,6,5,1
29386,46,2,4,6,2,36,6,5,3,1
29400,265,34,37,26,20,339,34,74,44,24
29401,124,18,19,11,9,182,16,43,24,11
29402,141,16,18,15,11,157,18,31,20,13
29420,3124,366,543,416,267,3037,271,618,373,233
29424,779,149,104,90,55,668,92,130,70,51
29425,901,71,202,129,81,883,53,193,116,71
29426,955,74,173,132,87,910,72,194,120,67
29427,489,72,64,65,44,576,54,101,67,44
29440,889,128,120,78,62,1301,179,228,135,79
29441,106,20,8,11,10,207,42,30,28,14
29442,379,56,53,32,22,528,45,103,52,37
29443,92,11,15,2,7,161,18,26,14,12
29444,15,3,0,1,0,37,9,3,8,1
29446,35,8,3,4,2,54,16,9,3,2
29447,17,2,2,4,1,25,3,4,3,1
29449,109,5,17,11,12,128,13,24,8,3
29450,32,2,7,4,2,40,6,11,2,3
29451,28,0,6,3,0,23,3,8,3,1
29452,35,9,6,3,3,46,13,5,5,0
29453,41,12,3,3,3,52,11,5,9,5
30000,21899,1773,3811,2604,1771,24869,1763,4315,2770,1820
30001,16666,1159,3059,1995,1395,18858,1158,3411,2159,1387
30002,5233,614,752,609,376,6011,605,904,611,433
30201,7970,479,1529,916,681,8153,406,1530,988,620
30202,977,66,175,129,86,1279,99,233,138,111
30203,1250,123,216,162,118,1491,90,320,174,102
30204,467,24,82,55,35,735,43,133,57,57
30205,614,45,100,72,45,808,83,139,92,56
30206,1556,95,267,188,138,2094,139,298,232,134
30207,796,63,119,92,79,1007,84,119,100,88
30208,1320,118,236,161,93,1564,132,289,186,96
30209,1716,146,335,220,120,1727,82,350,192,123
30300,168,23,18,20,13,200,28,34,23,7
30304,168,23,18,20,13,200,28,34,23,7
30340,466,47,69,68,37,656,70,107,83,56
30341,307,28,51,54,25,400,38,71,58,28
30343,54,4,11,3,3,107,7,18,11,12
30344,105,15,7,11,9,149,25,18,14,16
30360,1003,62,177,134,67,1152,67,215,130,99
30361,241,23,40,32,10,332,17,62,40,29
30362,146,10,16,15,13,177,13,33,14,12
30366,616,29,121,87,44,643,37,120,76,58
30380,1305,177,165,156,90,1542,157,216,136,90
30381,241,46,31,28,9,288,31,32,34,13
30382,226,19,36,35,18,202,29,22,17,16
30383,150,29,11,15,15,209,16,17,19,9
30390,175,28,23,16,17,196,27,42,20,7
30391,220,14,37,33,11,349,22,56,22,26
30392,293,41,27,29,20,298,32,47,24,19
30400,1338,143,215,144,93,1345,116,202,154,98
30401,694,87,90,67,55,727,68,117,85,54
30404,571,41,110,67,36,517,34,75,55,34
30406,73,15,15,10,2,101,14,10,14,10
30420,953,162,108,87,76,1116,167,130,85,83
30421,377,54,38,26,19,445,70,49,31,33
30422,113,40,5,13,11,97,17,10,7,6
30424,72,26,8,5,4,75,14,11,5,5
30427,11,2,1,3,2,9,4,2,1,0
30428,380,40,56,40,40,490,62,58,41,39
31000,14531,846,2362,1788,1301,15531,759,2606,1706,1204
31001,11312,544,1864,1374,978,11602,486,1969,1289,893
31002,3219,302,498,414,323,3929,273,637,417,311
31201,4171,190,636,501,371,4508,174,764,454,334
31202,4741,240,818,576,418,4520,188,762,546,367
31203,1219,58,198,158,114,1362,63,250,156,107
31204,1181,56,212,139,75,1212,61,193,133,85
31300,259,17,37,33,31,286,26,43,34,24
31302,259,17,37,33,31,286,26,43,34,24
31320,558,39,91,70,54,754,41,134,84,67
31325,62,8,8,3,12,86,9,24,10,9
31328,119,9,19,14,5,194,13,29,16,21
31329,377,22,64,53,37,474,19,81,58,37
31360,1180,116,185,146,126,1482,84,245,140,123
31364,128,14,14,20,13,158,9,24,21,10
31370,447,53,67,52,49,455,32,81,39,39
31371,285,25,55,31,32,456,21,75,46,37
31372,320,24,49,43,32,413,22,65,34,37
31380,1002,101,158,138,91,1135,98,174,127,75
